ID,county,total_cost,benefit_2015,benefit_2050,bc_2015,bc_2050,current_congestion,current_safety,current_freight,current_reliability,current_eta,current_air,current_access,current_score,future_congestion,future_access,future_freight,future_deliverable,future_air,future_volume,future_score
AR-318,Henry,1210735617,-261986.6604,4536618.132,-0.003648678,0.062898945,,,,,,0.08131183,0.004527747,0.903673236,0.00862408,0.019927835,0.214251838,0.826339303,0.57719498,0.205128205,21.87203642
AR-955,Henry,25000000,6765455.971,2372858.236,4.46767275,1.504338488,,,,,,0.07045228,0.011927177,0.943066341,0.015604809,0.004039965,0.20828393,0.966183852,0.676697896,0.088888889,23.35317856
AR-957A,Fulton,590458243,57171421.62,115596265.2,1.474490411,3.065076596,,,,,,0.56136618,0.157121181,8.756085418,0.246923984,0.138920912,0.311595921,0.900507697,0.599839174,0.411965812,36.11902426
AR-962,Gwinnett,112143067,6293291.017,2999959.619,1.003038597,0.438320442,,,,,,0.213256679,0.00864368,2.305440387,0.005576156,0.010527866,0.232669354,0.997950537,0.564848483,0.861538462,29.82479209
AR-ML-200,Fulton,14133861718,100381262.5,311060453.2,0.120132143,0.382052825,,,,,,0.587189205,1,25.87189205,1,1,1,0,0.271369583,0.483760684,73.90815059
AR-ML-210,Fulton,1202173580,27904906.65,59856654.34,0.393850923,0.867713782,,,,,,0.342778486,0.220086811,7.829521079,0.153435586,0.220463835,0.557050826,0.811263588,0.245769397,0.297435897,30.45870753
AR-ML-240,DeKalb,1865912247,27478915.28,73383301.27,0.250142501,0.688574427,,,,,,0.393262283,0.273314262,9.398908078,0.205039609,0.298934986,0.709331278,0.885509268,0,0.391452991,33.4874983
AR-ML-300,Fulton,4443960154,59040781.11,126623973.8,0.225323465,0.496096595,,,,,,0.323137411,0.078253382,4.796441749,0.294510928,0.097368408,0.434768003,0.386216777,0.349738215,0.312820513,27.85366417
AR-ML-420,Gwinnett,333267653,53653386.96,103254259.5,2.386176094,4.707352183,0.424836601,0.031536114,0,0,0.618181818,0.502970233,0.057473315,24.42166963,0.249072982,0.078433721,0.536459568,0.727483506,0.348292387,0.601709402,33.31394305
AR-ML-510,DeKalb,776631148,37672187.81,100220362.6,0.804809353,2.204157258,,,,,,0.272950792,0.023673773,3.202983383,0.255210967,0.043613661,0.393210023,0.864191643,0.746757945,0.381196581,36.33402216
AR-ML-610,Clayton,312834242,16266229,25227118.58,0.798790297,1.272627912,,,,,,0.282539803,0.052042661,3.86625126,0.072040564,0.062306299,0.311714489,0.788268929,0.493390568,0.251282051,24.6323876
AR-ML-800,Fulton,1231452691,28711750.86,99977935.07,0.389606334,1.396513443,,,,,,0.280228738,0.034253197,3.487351322,0.2541154,0.042902487,0.524523753,0.625771285,0.688668612,0.413675214,34.66575585
